0	00000001
1	00000001
2	00000002
3	000000F0
4	000000E8
5	00000031
6	31444350
7	00000006
8	000000D8
9	00000000
10	E8FFFFBC
11	00000000
12	00010000
13	FC00D4C7
14	FC009696
15	30000000
16	40000000
17	40000000
18	50000000
19	50000000
20	60000000
21	70000000
22	70000000
23	80000000
24	90000000
25	A0000000
26	A0000000
27	B0000000
28	C0000000
29	C0000000
30	D0000000
31	D0000000
32	E0000000
33	F0000000
34	FC01055F
35	FC018CA5
36	20000000
37	20000000
38	30000000
39	40000000
40	40000000
41	50000000
42	60000000
43	70000000
44	70000000
45	80000000
46	90000000
47	90000000
48	A0000000
49	B0000000
50	C0000000
51	C0000000
52	D0000000
53	D0000000
54	E0000000
55	F0000000
56	FC00009C
57	AFFEAFFE
58	AFFEAFFE
59	AFFEAFFE
60	AFFEAFFE
61	AFFEAFFE
62	AFFEAFFE
63	AFFEAFFE
64	00000001
65	00000002
66	000000EA
67	000000F0
68	000000E8
69	00000031
70	31444350
71	00000006
72	000000D8
73	00000000
74	E8FFFFBC
75	00000000
76	00210000
77	FC0230E8
78	FC02061D
79	30000000
80	30000000
81	40000000
82	50000000
83	50000000
84	60000000
85	60000000
86	70000000
87	70000000
88	80000000
89	90000000
90	A0000000
91	B0000000
92	C0000000
93	C0000000
94	D0000000
95	D0000000
96	E0000000
97	F0000000
98	FC036904
99	FC03DD28
100	20000000
101	30000000
102	40000000
103	50000000
104	50000000
105	60000000
106	70000000
107	70000000
108	80000000
109	90000000
110	A0000000
111	A0000000
112	B0000000
113	C0000000
114	C0000000
115	D0000000
116	D0000000
117	E0000000
118	E0000000
119	F0000000
120	FC00009C
121	AFFEAFFE
122	AFFEAFFE
123	AFFEAFFE
124	AFFEAFFE
125	AFFEAFFE
126	AFFEAFFE
127	AFFEAFFE
128	00000001
129	00000003
130	000001CB
131	000000D0
132	000000C8
133	00000031
134	31444350
135	00000006
136	000000B8
137	00000000
138	E8FFFFBC
139	00000000
140	00410000
141	FC0442C7
142	FC048456
143	30000000
144	40000000
145	40000000
146	50000000
147	50000000
148	60000000
149	70000000
150	70000000
151	80000000
152	90000000
153	90000000
154	A0000000
155	B0000000
156	C0000000
157	D0000000
158	D0000000
159	E0000000
160	F0000000
161	FC050A04
162	FC05D148
163	20000000
164	30000000
165	40000000
166	50000000
167	50000000
168	60000000
169	70000000
170	80000000
171	80000000
172	90000000
173	A0000000
174	A0000000
175	B0000000
176	C0000000
177	D0000000
178	E0000000
179	E0000000
180	F0000000
181	FC00009C
182	AFFEAFFE
183	AFFEAFFE
184	00000001
185	00000004
186	00000298
187	000000D0
188	000000C8
189	00000031
190	31444350
191	00000006
192	000000B8
193	00000000
194	E8FFFFBC
195	00000000
196	00610000
197	FC06A17D
198	FC06F025
199	30000000
200	30000000
201	40000000
202	50000000
203	50000000
204	60000000
205	70000000
206	80000000
207	80000000
208	90000000
209	A0000000
210	B0000000
211	C0000000
212	D0000000
213	E0000000
214	F0000000
215	FC079762
216	FC077AE8
217	20000000
218	30000000
219	40000000
220	50000000
221	50000000
222	60000000
223	70000000
224	70000000
225	80000000
226	80000000
227	90000000
228	90000000
229	A0000000
230	B0000000
231	B0000000
232	C0000000
233	D0000000
234	D0000000
235	E0000000
236	E0000000
237	F0000000
238	FC00009C
239	AFFEAFFE
240	00000001
241	00000005
242	0000036E
243	000000F0
244	000000E8
245	00000031
246	31444350
247	00000006
248	000000D8
249	00000000
250	E8FFFFBC
251	00000000
252	00810000
253	FC081D23
254	FC085FA2
255	30000000
